threshold,accuracy,recall,precision,F1
57,0.706,0.906,0.6471428571428571,0.755
60,0.729,0.904,0.6696296296296296,0.7693617021276594
59,0.721,0.904,0.6617862371888726,0.7641589180050719
112,0.702,0.406,0.9950980392156863,0.5767045454545454
113,0.699,0.4,0.9950248756218906,0.5706134094151213
84,0.833,0.724,0.9258312020460358,0.8125701459034792
85,0.826,0.71,0.9244791666666666,0.8031674208144797
86,0.825,0.7,0.9333333333333333,0.8
103,0.733,0.47,0.9915611814345991,0.6377204884667571
101,0.741,0.486,0.9918367346938776,0.6523489932885905
105,0.726,0.456,0.991304347826087,0.6246575342465753
